name,group,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,ID
"TITLE: Visual Compression of Workflow Visualizations with Automated Detection of Macro Motifs WORDS: users, use, design, visualizations, interactive, different, study, technique, time, method",Visual Compression of Workflow Visualizations with Automated Detection of Macro Motifs,4,3,8,6,10,1,5,2,7,9,63
"TITLE: Automatic Layout of Structured Hierarchical Reports WORDS: used, users, use, design, visualizations, interactive, space, large, flow, tasks",Automatic Layout of Structured Hierarchical Reports,7,4,3,10,9,8,5,6,2,1,64
"TITLE: Edge Compression Techniques for Visualization of Dense Directed Graphs WORDS: users, use, design, visualizations, interactive, used, different, study, technique, time",Edge Compression Techniques for Visualization of Dense Directed Graphs,7,2,10,5,1,4,9,6,3,8,65
"TITLE: GPLOM: The Generalized Plot Matrix for Visualizing Multidimensional Multivariate Data WORDS: new, novel, users, use, design, visualizations, interactive, space, large, used",GPLOM: The Generalized Plot Matrix for Visualizing Multidimensional Multivariate Data,2,3,9,1,8,7,5,10,4,6,66
"TITLE: Orthographic Star Coordinates WORDS: users, use, design, visualizations, interactive, new, different, study, technique, time",Orthographic Star Coordinates,1,3,5,7,9,2,4,6,8,10,67
"TITLE: Dimension Projection Matrix/Tree: Interactive Subspace Visual Exploration and Analysis of High Dimensional Data WORDS: new, space, large, users, use, design, visualizations, interactive, volume, novel",Dimension Projection Matrix/Tree: Interactive Subspace Visual Exploration and Analysis of High Dimensional Data,5,3,4,9,2,6,10,8,7,1,68
"TITLE: Empirical Guidance on Scatterplot and Dimension Reduction Technique Choices WORDS: users, use, design, visualizations, interactive, new, used, different, study, technique",Empirical Guidance on Scatterplot and Dimension Reduction Technique Choices,1,7,9,4,6,2,5,8,3,10,69
"TITLE: Visualization of Shape Motions in Shape Space WORDS: users, use, design, visualizations, interactive, new, used, different, study, technique",Visualization of Shape Motions in Shape Space,3,6,2,4,5,8,10,1,9,7,70
"TITLE: Fast Blending Scheme for Molecular Surface Representation WORDS: new, used, volume, flow, tasks, novel, space, large, users, use",Fast Blending Scheme for Molecular Surface Representation,2,4,8,3,10,1,5,6,7,9,71
"TITLE: Detecting Symmetry in Scalar fields Using Augmented Extremum Graphs WORDS: users, use, design, visualizations, interactive, new, space, large, flow, tasks",Detecting Symmetry in Scalar fields Using Augmented Extremum Graphs,3,8,5,6,4,1,9,10,7,2,72
"TITLE: Fast Generation of Virtual X-ray Images for Reconstruction of 3D Anatomy WORDS: new, users, use, design, visualizations, interactive, novel, space, large, used",Fast Generation of Virtual X-ray Images for Reconstruction of 3D Anatomy,8,10,3,6,2,1,9,4,7,5,73
"TITLE: An Information-Aware Framework for Exploring Multivariate Data Sets WORDS: new, novel, users, use, design, visualizations, interactive, space, large, flow",An Information-Aware Framework for Exploring Multivariate Data Sets,2,1,6,5,10,9,7,3,4,8,74
"TITLE: Efficient Local Statistical Analysis via Integral Histograms with Discrete Wavelet Transform WORDS: users, use, design, visualizations, interactive, volume, different, study, technique, time",Efficient Local Statistical Analysis via Integral Histograms with Discrete Wavelet Transform,6,1,8,4,3,10,7,2,9,5,75
"TITLE: Characterizing and Visualizing Predictive Uncertainty in Numerical Ensembles Through Bayesian Model Averaging WORDS: new, users, use, design, visualizations, interactive, flow, tasks, space, large",Characterizing and Visualizing Predictive Uncertainty in Numerical Ensembles Through Bayesian Model Averaging,3,1,4,7,10,8,5,6,2,9,76
"TITLE: Contour Boxplots: A Method for Characterizing Uncertainty in Feature Sets from Simulation Ensembles WORDS: users, use, design, visualizations, interactive, volume, different, study, technique, time",Contour Boxplots: A Method for Characterizing Uncertainty in Feature Sets from Simulation Ensembles,3,1,7,8,5,10,9,6,2,4,77
"TITLE: Uncertainty Quantification in Linear Interpolation for Isosurface Extraction WORDS: used, new, space, large, users, use, design, visualizations, interactive, volume",Uncertainty Quantification in Linear Interpolation for Isosurface Extraction,4,2,10,9,8,5,7,6,1,3,78
"TITLE: Coupled Ensemble Flow Line Advection and Analysis WORDS: users, use, design, visualizations, interactive, used, space, large, different, study",Coupled Ensemble Flow Line Advection and Analysis,4,3,8,9,7,5,2,10,6,1,79
"TITLE: Comparative Visual Analysis of Lagrangian Transport in CFD Ensembles WORDS: new, flow, tasks, users, use, design, visualizations, interactive, novel, used",Comparative Visual Analysis of Lagrangian Transport in CFD Ensembles,1,6,9,7,2,3,5,4,8,10,80
"TITLE: Adaptive Refinement of the Flow Map Using Sparse Samples WORDS: users, use, design, visualizations, interactive, used, space, large, different, study",Adaptive Refinement of the Flow Map Using Sparse Samples,1,2,8,6,7,9,3,4,10,5,81
"TITLE: Visualization of Morse Connection Graphs for Topologically Rich 2D Vector fields WORDS: new, users, use, design, visualizations, interactive, novel, used, flow, tasks",Visualization of Morse Connection Graphs for Topologically Rich 2D Vector fields,1,7,9,4,8,3,6,2,5,10,82
"TITLE: Semi-Automatic Vortex Extraction in 4D PC-MRI Cardiac Blood Flow Data using Line Predicates WORDS: new, space, large, users, use, design, visualizations, interactive, used, novel",Semi-Automatic Vortex Extraction in 4D PC-MRI Cardiac Blood Flow Data using Line Predicates,4,8,5,3,9,1,2,7,10,6,83
"TITLE: Design by Dragging: An Interface for Creative Forward and Inverse Design with Simulation Ensembles WORDS: users, use, design, visualizations, interactive, flow, tasks, new, volume, used",Design by Dragging: An Interface for Creative Forward and Inverse Design with Simulation Ensembles,9,1,10,5,2,6,3,8,4,7,84
"TITLE: A Multi-Criteria Approach to Camera Motion Design for Volume Data Animation WORDS: new, users, use, design, visualizations, interactive, novel, space, large, used",A Multi-Criteria Approach to Camera Motion Design for Volume Data Animation,2,1,9,5,10,8,6,7,3,4,85
"TITLE: A Lightweight Tangible 3D Interface for Interactive Visualization of Thin fiber Structures WORDS: space, large, used, users, use, design, visualizations, interactive, new, volume",A Lightweight Tangible 3D Interface for Interactive Visualization of Thin fiber Structures,3,2,10,6,8,4,7,1,5,9,86
"TITLE: Evaluation of Static and Dynamic Visualization Training Approaches for Users with Different Spatial Abilities WORDS: users, use, design, visualizations, interactive, new, space, large, used, different",Evaluation of Static and Dynamic Visualization Training Approaches for Users with Different Spatial Abilities,7,2,4,9,3,10,5,6,8,1,87
"TITLE: A Systematic Review on the Practice of Evaluating Visualization WORDS: users, use, design, visualizations, interactive, different, study, technique, time, method",A Systematic Review on the Practice of Evaluating Visualization,10,6,1,3,4,8,5,7,9,2,88
"TITLE: Interactive Patient-Specific Vascular Modeling with Sweep Surfaces WORDS: users, use, design, visualizations, interactive, new, flow, tasks, different, study",Interactive Patient-Specific Vascular Modeling with Sweep Surfaces,1,4,3,7,5,9,10,2,6,8,89
"TITLE: Area-Preservation Mapping using Optimal Mass Transport WORDS: space, large, new, volume, flow, tasks, users, use, design, visualizations",Area-Preservation Mapping using Optimal Mass Transport,4,9,3,5,2,1,8,7,6,10,90
"TITLE: Colon Flattening Using Heat Diffusion Riemannian Metric WORDS: new, used, novel, volume, users, use, design, visualizations, interactive, flow",Colon Flattening Using Heat Diffusion Riemannian Metric,3,8,6,1,2,5,10,7,4,9,91
"TITLE: Vessel Visualization using Curved Surface Reformation WORDS: users, use, design, visualizations, interactive, new, volume, flow, tasks, different",Vessel Visualization using Curved Surface Reformation,5,4,7,1,8,10,6,3,2,9,92
"TITLE: ConnectomeExplorer: Query-Guided Visual Analysis of Large Volumetric Neuroscience Data WORDS: users, use, design, visualizations, interactive, new, different, study, technique, time",ConnectomeExplorer: Query-Guided Visual Analysis of Large Volumetric Neuroscience Data,2,9,10,5,7,1,8,3,4,6,93
"TITLE: ManyVis: Multiple Applications in an Integrated Visualization Environment WORDS: used, new, space, large, volume, novel, flow, tasks, users, use",ManyVis: Multiple Applications in an Integrated Visualization Environment,8,6,3,7,5,2,9,1,10,4,94
"TITLE: Acuity-Driven Gigapixel Visualization WORDS: users, use, design, visualizations, interactive, different, study, technique, time, method",Acuity-Driven Gigapixel Visualization,1,3,8,5,9,4,6,7,10,2,95
"TITLE: An Exploration Framework to Identify and Track Movement of Cloud Systems WORDS: new, space, large, used, users, use, design, visualizations, interactive, novel",An Exploration Framework to Identify and Track Movement of Cloud Systems,7,6,1,4,5,2,3,8,10,9,96
"TITLE: MObjects--A Novel Method for the Visualization and Interactive Exploration of Defects in Industrial XCT Data WORDS: users, use, design, visualizations, interactive, used, new, different, study, technique",MObjects--A Novel Method for the Visualization and Interactive Exploration of Defects in Industrial XCT Data,6,9,7,3,4,2,10,1,5,8,97
"TITLE: GRACE: A Visual Comparison Framework for Integrated Spatial and Non-Spatial Geriatric Data WORDS: users, use, design, visualizations, interactive, new, different, study, technique, time",GRACE: A Visual Comparison Framework for Integrated Spatial and Non-Spatial Geriatric Data,2,4,8,6,3,7,10,9,1,5,98
